name,job,Logged_Year,movie_count,gender,popularity,profile_path,order,display
Paul Haggis,Screenplay,2021,2,Male,9.574,https://image.tmdb.org/t/p/original/bO2CPKFOtv1uigPM8crWTC071wr.jpg,60,0
Rainer Werner Fassbinder,Screenplay,2021,2,Male,9.429,https://image.tmdb.org/t/p/original/xll1qAg0TOzcuNlfZWEEKB1JxqR.jpg,61,0
Jane Campion,Screenplay,2021,2,Female,6.768,https://image.tmdb.org/t/p/original/zAkrfMl6m940Ja46ofWaM94gTNj.jpg,62,0
Nancy Meyers,Screenplay,2021,2,Female,6.2920000000000025,https://image.tmdb.org/t/p/original/aK2lYDBYhWU9MJdNV0y1EvXiNo0.jpg,63,0
Jacques Demy,Screenplay,2021,2,Male,5.331,https://image.tmdb.org/t/p/original/qfCV7ckQ2XjsAgDRzvJ2PCRAzAE.jpg,64,0
Alexander Payne,Screenplay,2021,2,Male,5.21,https://image.tmdb.org/t/p/original/d8mwLxuCMxMxcE8Qys9sdUb7UZg.jpg,65,0
Robert Wade,Screenplay,2021,2,Male,4.926,https://image.tmdb.org/t/p/original/8HmRapJQ3D1IthZkqOiw4uoaRKe.jpg,66,0
Neal Purvis,Screenplay,2021,2,Male,4.274,https://image.tmdb.org/t/p/original/54vvvnfFnb8s6VKJmJGsW7gpkFJ.jpg,67,0
Jim Taylor,Screenplay,2021,2,Male,2.305,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,68,0
Christopher Hampton,Screenplay,2021,2,Male,2.276,https://image.tmdb.org/t/p/original/utg2E5j1D4xt5vgoUnrc4WEh7fE.jpg,69,0
Jane Goldman,Screenplay,2021,2,Female,2.023,https://image.tmdb.org/t/p/original/p7rediE1pQuLhLjg3vXiU78Wx9x.jpg,70,0
Krzysztof Piesiewicz,Screenplay,2021,2,Male,1.4069999999999998,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,71,0
John Bright,Screenplay,2021,2,Male,0.6,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,72,0
Rainer Werner Fassbinder,Editor,2021,3,Male,9.429,https://image.tmdb.org/t/p/original/xll1qAg0TOzcuNlfZWEEKB1JxqR.jpg,73,1
Juliane Lorenz,Editor,2021,3,Female,1.694,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,74,0
Gerald B. Greenberg,Editor,2021,3,Male,1.3880000000000001,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,75,0
Carol Littleton,Editor,2021,3,Male,1.166,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,76,0
Alan Baumgarten,Editor,2021,3,Male,0.972,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,77,0
Joe Walker,Editor,2021,3,Male,0.605,https://image.tmdb.org/t/p/original/2pfPFxb2I0ulvMZx5B7juwvuU3I.jpg,78,0
Steven Soderbergh,Editor,2021,2,Male,13.819,https://image.tmdb.org/t/p/original/y8JlSDcQzd7gAaKyxFpExupMwDz.jpg,79,0
Joel Coen,Editor,2021,2,Male,8.65,https://image.tmdb.org/t/p/original/rgVaJNkZCgMarUcZuUAsVfXMWk3.jpg,80,0
Ethan Coen,Editor,2021,2,Male,6.3,https://image.tmdb.org/t/p/original/ccvoiEe3gEMAth1Oy8SJxVeMcAk.jpg,81,0
Thelma Schoonmaker,Editor,2021,2,Female,4.328,https://image.tmdb.org/t/p/original/6AMXHH5vBscnT72IzgEaFYWuzuG.jpg,82,0
Robert Leighton,Editor,2021,2,Male,2.753,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,83,0
Carl Lerner,Editor,2021,2,Male,2.4530000000000003,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,84,0
Arthur Schmidt,Editor,2021,2,Male,2.287,https://image.tmdb.org/t/p/original/bSgfOvtFrtaftXSwXFLcI7Z0zKe.jpg,85,0
Andrew Weisblum,Editor,2021,2,Male,1.844,https://image.tmdb.org/t/p/original/j7tgo6NioTZihfXCmZAVRQrkwf3.jpg,86,0
Jon Harris,Editor,2021,2,Male,1.72,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,87,0
José Salcedo,Editor,2021,2,Male,1.694,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,88,0
Tatiana S. Riegel,Editor,2021,2,Female,1.594,https://image.tmdb.org/t/p/original/mms5qpMvookGWLw2UZ54QqO9hES.jpg,89,0
Jacques Witta,Editor,2021,2,Male,1.435,https://image.tmdb.org/t/p/original/gtYgtpEyipHtEDK6RkWxooiVynQ.jpg,90,0
Nicolas De Toth,Editor,2021,2,Male,1.4280000000000002,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,91,0
Craig McKay,Editor,2021,2,Male,1.3880000000000001,https://image.tmdb.org/t/p/original/y2rf8XD0A7Pgse5jx3z4yVb14VH.jpg,92,0
Ferris Webster,Editor,2021,2,Male,1.166,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,93,0
Marion Rothman,Editor,2021,2,Female,1.159,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,94,0
Lucia Zucchetti,Editor,2021,2,Female,1.025,https://image.tmdb.org/t/p/original/cHJURNy6NFRisTnvLeONgwhDs4o.jpg,95,0
Ronald Sanders,Editor,2021,2,Male,1.025,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,95,0
Milton Carruth,Editor,2021,2,Male,0.84,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,96,0
Joe Hutshing,Editor,2021,2,Male,0.84,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,96,0
Nat Sanders,Editor,2021,2,Male,0.84,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,96,0
Sylvia Ingemarsson,Editor,2021,2,Female,0.833,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,97,0
Mario Serandrei,Editor,2021,2,Male,0.6920000000000001,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,98,0
Eileen Meyer,Editor,2021,2,Male,0.6,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,99,0
Reginald Mills,Editor,2021,2,Male,0.6,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,99,0
Anne-Marie Cotret,Editor,2021,2,Male,0.6,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,99,0
Michael Ballhaus,Director of Photography,2021,7,Male,2.8419999999999996,https://image.tmdb.org/t/p/original/9DHIGsrgeTWA0rch3fFGXTOl1lO.jpg,100,1
Robert Elswit,Director of Photography,2021,4,Male,3.775,https://image.tmdb.org/t/p/original/5urU681Z1ZyJxfjEGp6qY6XYXg1.jpg,101,0
John Bailey,Director of Photography,2021,3,Male,3.2230000000000003,https://image.tmdb.org/t/p/original/tjWixq3gm3D1Sspx882aP6GogLl.jpg,102,0
Phedon Papamichael,Director of Photography,2021,3,Male,2.8250000000000006,https://image.tmdb.org/t/p/original/e4RemHDq1r9F0yNqlKNFBOGIEQK.jpg,103,0
Steven Soderbergh,Director of Photography,2021,2,Male,13.819,https://image.tmdb.org/t/p/original/y8JlSDcQzd7gAaKyxFpExupMwDz.jpg,104,0
Roger Deakins,Director of Photography,2021,2,Male,5.9860000000000015,https://image.tmdb.org/t/p/original/pSCN7CfILlfQrxX43Kgqrx5mBYQ.jpg,105,0
Robert D. Yeoman,Director of Photography,2021,2,Male,3.741,https://image.tmdb.org/t/p/original/qtIdjrzJrbCUOi9SdAwhIupIonR.jpg,106,0
Jack Cardiff,Director of Photography,2021,2,Male,3.312,https://image.tmdb.org/t/p/original/1xiGGQ64mlDmgUOuSQsJdGLg6qn.jpg,107,0
Jack Green,Director of Photography,2021,2,Male,2.977,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,108,0
Sven Nykvist,Director of Photography,2021,2,Male,2.784,https://image.tmdb.org/t/p/original/qs8gCA7aTXPfKkGiPdQAqposl5o.jpg,109,0
José Luis Alcaine,Director of Photography,2021,2,Male,2.67,https://image.tmdb.org/t/p/original/6m3lhxAWoFs2swR1BFdZKwF6GIJ.jpg,110,0
Jim Denault,Director of Photography,2021,2,Male,2.6289999999999996,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,111,0
Linus Sandgren,Director of Photography,2021,2,Male,2.026,https://image.tmdb.org/t/p/original/ihiOYVxA7XwgSJva5C7HZuGopY5.jpg,112,0
Michael Fimognari,Director of Photography,2021,2,Male,1.6159999999999999,https://image.tmdb.org/t/p/original/8ETxK0seKQDqvfHNzHwGcvl51B8.jpg,113,0
