Logged_Date,Name,Year,english_language,popularity,vote_average,vote_count,revenue,runtime,Rating,Review,Logged_DOW,Logged_Month,Logged_Year,Logged_Week,Daily_Movie_Count,Weekly_Movie_Count,Action,Crime,War,Drama,Thriller,Mystery,Comedy,Romance,Sci_Fi,Animation,Documentary,Adventure,Music,Horror,Fantasy,History,Western,Rom_Com,female_roles,female_driven,female_directed,negativity_percentage,neutrality_percentage,positivity_percentage,movie_sentiment
2017-07-29,Inception,2010,1,59.33,8.3,29718,825532764,148,4.0,0,6,7,2017,30,244,387,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5.0,0.0,0.0,0.078,0.851,0.071,-0.3182
2017-07-29,The Dark Knight,2008,1,59.87600000000001,8.5,25696,1004558444,152,0.0,0,6,7,2017,30,244,387,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,0.0,0.263,0.669,0.068,-0.9607
2017-07-29,Interstellar,2014,1,91.303,8.3,26512,675120017,169,4.0,0,6,7,2017,30,244,387,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7.0,0.0,0.0,0.0,0.926,0.074,0.34
2017-07-29,Rogue One: A Star Wars Story,2016,1,40.022,7.5,12344,1056057273,133,4.0,0,6,7,2017,30,244,387,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3.0,0.0,0.0,0.294,0.603,0.103,-0.6597
2017-07-29,Memento,2000,1,21.533,8.2,11341,39723096,113,0.0,0,6,7,2017,30,244,387,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,0.0,0.313,0.687,0.0,-0.9756
2017-07-29,Ghost in the Shell,2017,0,41.958,7.9,2291,515905,83,0.5,0,6,7,2017,30,244,387,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.118,0.882,0.0,-0.7351
2017-07-29,The Dark Knight Rises,2012,1,44.427,7.8,18210,1081041287,165,3.0,0,6,7,2017,30,244,387,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,0.0,0.216,0.717,0.067,-0.9136
2017-07-29,Sex and the City 2,2010,1,27.886,6.1,1300,290745055,146,0.0,0,6,7,2017,30,244,387,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0,0.0,0.0,0.0,0.771,0.229,0.9549
2017-07-29,Footloose,1984,1,14.616,6.6,1496,80035402,107,3.5,0,6,7,2017,30,244,387,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.0,0.0,0.0,0.154,0.846,0.0,-0.7351
2017-07-29,The First Wives Club,1996,1,9.149,6.6,549,116400000,102,4.0,0,6,7,2017,30,244,387,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.0,1.0,0.0,0.158,0.609,0.233,0.6382
2017-07-29,Girls Trip,2017,1,29.061,6.8,1267,140376621,122,0.0,0,6,7,2017,30,244,387,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.0,1.0,0.0,0.0,0.807,0.193,0.6705
2017-07-29,Batman Begins,2005,1,44.03,7.7,16507,374218673,140,3.0,0,6,7,2017,30,244,387,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,0.0,0.263,0.696,0.041,-0.91
2017-07-29,Star Wars: The Force Awakens,2015,1,48.94600000000001,7.3,16080,2068223624,136,3.0,0,6,7,2017,30,244,387,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,5.0,0.0,0.0,0.321,0.679,0.0,-0.886
2017-07-29,Guardians of the Galaxy,2014,1,104.82600000000001,7.6,17017,863756051,137,4.0,0,6,7,2017,30,244,387,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,5.0,0.0,0.0,0.111,0.769,0.12,0.0516
2017-07-29,The Grand Budapest Hotel,2014,1,23.9,8.0,11366,174600318,100,0.0,0,6,7,2017,30,244,387,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.086,0.789,0.125,0.4215
2017-07-29,The Shining,1980,1,46.803000000000004,8.2,13283,44781695,144,5.0,0,6,7,2017,30,244,387,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6.0,0.0,0.0,0.203,0.763,0.034,-0.8019
2017-07-29,John Wick: Chapter 2,2017,1,84.14299999999999,7.2,9390,171539887,122,3.0,0,6,7,2017,30,244,387,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.268,0.732,0.0,-0.927
2017-07-29,Drive,2011,0,105.796,5.7,35,0,147,0.0,0,6,7,2017,30,244,387,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.115,0.781,0.104,-0.0772
2017-07-29,Django Unchained,2012,1,35.35,8.1,21119,425368238,165,0.0,0,6,7,2017,30,244,387,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.0,0.0,0.0,0.142,0.556,0.302,0.5574
2017-07-29,Kingsman: The Secret Service,2014,1,60.646,7.6,13403,414351546,129,2.0,0,6,7,2017,30,244,387,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3.0,0.0,0.0,0.131,0.768,0.101,-0.2617
2017-07-29,The Wolf of Wall Street,2013,1,112.36399999999999,8.0,18159,392000000,180,3.0,0,6,7,2017,30,244,387,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,0.0,0.123,0.806,0.071,-0.3818
2017-07-29,Ex Machina,2014,1,22.704,7.6,10479,36869414,108,0.0,0,6,7,2017,30,244,387,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.0,0.0,0.0,0.026,0.715,0.259,0.9661
2017-07-29,Captain America: Civil War,2016,1,125.52600000000001,7.4,18479,1153296293,147,2.0,0,6,7,2017,30,244,387,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5.0,0.0,0.0,0.053,0.947,0.0,-0.3818
2017-07-29,Moana,2016,1,25.863000000000003,7.6,9743,690860472,107,4.0,0,6,7,2017,30,244,387,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,3.0,0.0,0.0,0.195,0.769,0.036,-0.7506
