name,job,movie_count,gender,popularity,profile_path,order
Dan Gilroy,Writer,2,Male,4.615,https://image.tmdb.org/t/p/original/am569DiWC0blnbM98ZphiwBItsS.jpg,1060
Dan Gilroy,Director,2,Male,4.615,https://image.tmdb.org/t/p/original/am569DiWC0blnbM98ZphiwBItsS.jpg,1060
Ryan Polito,Director,2,Male,4.6080000000000005,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,1061
Roberto Orci,Screenplay,2,Male,4.601,https://image.tmdb.org/t/p/original/mkc51BZ6dYg843frBA9flomxFda.jpg,1062
Will Gluck,Screenplay,2,Male,4.592,https://image.tmdb.org/t/p/original/facxxJZFpnoufJIY4jU9mC7RGKx.jpg,1063
Emile Ardolino,Director,2,Male,4.492,https://image.tmdb.org/t/p/original/zWQ87XisfPtlSHjnfl9XMCYZcu6.jpg,1064
Hossein Amini,Screenplay,2,Male,4.437,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,1065
Roger Avary,Writer,2,Male,4.427,https://image.tmdb.org/t/p/original/eq810bljrpQ0FB0SUmUTGyxqFv6.jpg,1066
Amy Schumer,Writer,2,Female,4.423,https://image.tmdb.org/t/p/original/6u95ZNLrADSlK7CVkgEvC0jLIJh.jpg,1067
Miloš Forman,Director,2,Male,4.422,https://image.tmdb.org/t/p/original/O2Crxh0l3u1mxHvjA6003gEpi7.jpg,1068
Paul Wernick,Writer,2,Male,4.417,https://image.tmdb.org/t/p/original/12wCVgUkLv7RejadXXZrtL8Tj5N.jpg,1069
Robert Mark Kamen,Writer,2,Male,4.404,https://image.tmdb.org/t/p/original/t7XwxMyS2ANsDDsRWJY7FhdjgQ5.jpg,1070
Lawrence Kasdan,Director,2,Male,4.4,https://image.tmdb.org/t/p/original/hZAQC6MLyR1oLHRKEZ1oUEvh0Sy.jpg,1071
Patrick Lussier,Editor,2,Male,4.384,https://image.tmdb.org/t/p/original/iDVSGsOz8PewY4SCAEDCDaobi4.jpg,1072
Rawson Marshall Thurber,Director,2,Male,4.377,https://image.tmdb.org/t/p/original/4gpzB12oy73qr5nWNNyZICz9nFB.jpg,1073
Terry Jones,Director,2,Male,4.375,https://image.tmdb.org/t/p/original/keJpqxK8gykrrK2W6yeSeDUbYDK.jpg,1074
Stephen Sommers,Screenplay,2,Male,4.359,https://image.tmdb.org/t/p/original/wGhd7IF1Buf7qPXuC4y1t02hams.jpg,1075
Daniel Gerson,Screenplay,2,Male,4.308,https://image.tmdb.org/t/p/original/amOuK3ytWV7KXeWrpl9joCglRlF.jpg,1076
Fred Wolf,Writer,2,Male,4.307,https://image.tmdb.org/t/p/original/64Klcur18Q3eTZ4tTPiOnWrufU5.jpg,1077
Patrick Marber,Screenplay,2,Male,4.301,https://image.tmdb.org/t/p/original/gKQHT10lVXPvAyD062svcAGdkjo.jpg,1078
John Gatins,Screenplay,2,Male,4.299,https://image.tmdb.org/t/p/original/pFtxpu4aGb6H2RgVKwHNrT10CPn.jpg,1079
Chris McKenna,Screenplay,2,Male,4.289,https://image.tmdb.org/t/p/original/4RSchBk98ZDBZgSnIbirVfwKn48.jpg,1080
Ed Decter,Screenplay,2,Male,4.237,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,1081
Florian Henckel von Donnersmarck,Screenplay,2,Male,4.2360000000000015,https://image.tmdb.org/t/p/original/3IuSW8NazUH3VlM8KYwMhTTk5lV.jpg,1082
Florian Henckel von Donnersmarck,Director,2,Male,4.2360000000000015,https://image.tmdb.org/t/p/original/3IuSW8NazUH3VlM8KYwMhTTk5lV.jpg,1082
David Lowery,Screenplay,2,Male,4.218,https://image.tmdb.org/t/p/original/5zS78ZleGuxFB0XZBqQMbH4udME.jpg,1083
David Lowery,Editor,2,Male,4.218,https://image.tmdb.org/t/p/original/5zS78ZleGuxFB0XZBqQMbH4udME.jpg,1083
David Lowery,Director,2,Male,4.218,https://image.tmdb.org/t/p/original/5zS78ZleGuxFB0XZBqQMbH4udME.jpg,1083
Abbas Kiarostami,Writer,2,Male,4.163,https://image.tmdb.org/t/p/original/rTlz5ciu41FxyVuXA82a3tSYVZ8.jpg,1084
Abbas Kiarostami,Editor,2,Male,4.163,https://image.tmdb.org/t/p/original/rTlz5ciu41FxyVuXA82a3tSYVZ8.jpg,1084
Abbas Kiarostami,Director,2,Male,4.163,https://image.tmdb.org/t/p/original/rTlz5ciu41FxyVuXA82a3tSYVZ8.jpg,1084
Agnès Varda,Director,2,Female,4.1560000000000015,https://image.tmdb.org/t/p/original/cPvKO68wqWVnSbcwgVNYjPLCaMv.jpg,1085
Elizabeth Allen Rosenbaum,Director,2,Female,4.154,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,1086
J. Michael Muro,Director of Photography,2,Male,4.145,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,1087
Barry Jenkins,Screenplay,2,Male,4.117,https://image.tmdb.org/t/p/original/6nld5eQwiJmuLmyesk4EUeCaoo3.jpg,1088
Barry Jenkins,Director,2,Male,4.117,https://image.tmdb.org/t/p/original/6nld5eQwiJmuLmyesk4EUeCaoo3.jpg,1088
Paolo Sorrentino,Director,2,Male,4.112,https://image.tmdb.org/t/p/original/ose9qpN0SpjgOOWxS4Zu2LRG7ys.jpg,1089
Mark Osborne,Director,2,Male,4.097,https://image.tmdb.org/t/p/original/6mIJet9Jhpwd2PuVlBzG4VqItAj.jpg,1090
James L. Brooks,Director,2,Male,4.078,https://image.tmdb.org/t/p/original/71coE7hjtXErJXT4Of3KSedzx4E.jpg,1091
